"tx_acc1","tx_form","tx_courses","heurstag","tx_tpf","secteur_ensemble","secteur","taille","NAME_FREN","iso3_code"
25.6,71.9,66.2,24,1.6,0,"Construction","20 à 49","Autriche","AUT"
33.7,89.4,84.6,21,2.2,0,"Commerce et réparation d'automobiles","20 à 49","Autriche","AUT"
22.7,77,73.3,29,1.6,0,"Commerce de gros","20 à 49","Autriche","AUT"
21.3,68.3,58.5,30,1.6,0,"Commerce de détail","20 à 49","Autriche","AUT"
18.5,85.3,79.5,36,1.8,0,"Transports","20 à 49","Autriche","AUT"
17.5,67.6,59.8,32,1.3,0,"Hébergement, Restauration","20 à 49","Autriche","AUT"
22.4,77.2,68.4,27,1.6,0,"Edition, Production de films cinématographiques","20 à 49","Autriche","AUT"
38,74.2,66.4,29,2.2,0,"Activités des services financiers","20 à 49","Autriche","AUT"
39.2,89.9,85.2,38,2.5,0,"Activités auxiliaires de services financiers et d'assurance","20 à 49","Autriche","AUT"
34.5,88,77.2,38,-0.8,0,"Activités des organisations associatives","20 à 49","Autriche","AUT"
44.9,89.9,85,13,1.8,0,"Activités immobilières","20 à 49","Autriche","AUT"
37.6,88.7,81.9,32,2.8,0,"Activités juridiques et comptables","20 à 49","Autriche","AUT"
20.3,76.9,69.3,38,2.2,0,"Activités de location","20 à 49","Autriche","AUT"
28.9,77,69.6,60,3.1,0,"Activités créatives, artistiques et de spectacle","20 à 49","Autriche","AUT"
31,70.6,68.8,31,1.7,0,"Agriculture, sylviculture et pêche","20 à 49","Autriche","AUT"
23.8,62.7,53.5,29,2.1,0,"Enseignement","20 à 49","Autriche","AUT"
31.4,89.1,80.6,32,2.6,0,"Administration publique et santé","20 à 49","Autriche","AUT"
44.4,95.1,90.3,21,2.5,1,"Ensemble des secteurs","50 à 249","Autriche","AUT"
61.2,100,100,18,2.7,0,"Industries extractives","50 à 249","Autriche","AUT"
51.2,93.6,92,25,3.1,0,"Industries alimentaire","50 à 249","Autriche","AUT"
39.2,91.8,89.8,22,2,0,"Fabrication de textiles","50 à 249","Autriche","AUT"
40.8,96.1,92.8,23,2.8,0,"Industrie du papier et du carton","50 à 249","Autriche","AUT"
50.9,93.1,93.1,19,2.8,0,"Cockefaction et raffinage","50 à 249","Autriche","AUT"
35,97.3,97.3,25,2.3,0,"Métallurgie","50 à 249","Autriche","AUT"
76.3,100,96.4,9,1.8,0,"Fabrication de produits informatiques","50 à 249","Autriche","AUT"
39.5,96.4,92.9,14,2,0,"Industrie automobile","50 à 249","Autriche","AUT"
47.6,89.9,89.9,49,4.1,0,"Fabrication de meubles","50 à 249","Autriche","AUT"
55.8,100,97.8,19,2.9,0,"Production et distribution d'électricité","50 à 249","Autriche","AUT"
42.3,96.5,89.8,24,2.6,0,"Construction","50 à 249","Autriche","AUT"
36.5,94.1,88.6,18,1.8,0,"Commerce et réparation d'automobiles","50 à 249","Autriche","AUT"
42.1,96.5,91.9,22,2.9,0,"Commerce de gros","50 à 249","Autriche","AUT"
31.6,91.3,86,23,2,0,"Commerce de détail","50 à 249","Autriche","AUT"
40.7,100,96.3,19,2.5,0,"Transports","50 à 249","Autriche","AUT"
28.8,88.3,74.2,21,1,0,"Hébergement, Restauration","50 à 249","Autriche","AUT"
39.7,89.6,85.9,19,2.2,0,"Edition, Production de films cinématographiques","50 à 249","Autriche","AUT"
62.7,100,100,25,3.7,0,"Activités des services financiers","50 à 249","Autriche","AUT"
77.3,100,100,19,2.8,0,"Activités auxiliaires de services financiers et d'assurance","50 à 249","Autriche","AUT"
38.6,100,95.4,35,3.4,0,"Activités des organisations associatives","50 à 249","Autriche","AUT"
51.3,88.5,81,35,3.3,0,"Activités immobilières","50 à 249","Autriche","AUT"
53.2,96,90.6,22,2.6,0,"Activités juridiques et comptables","50 à 249","Autriche","AUT"
28.3,93.8,89,24,3,0,"Activités de location","50 à 249","Autriche","AUT"
31.7,95.4,89.1,39,3.6,0,"Activités créatives, artistiques et de spectacle","50 à 249","Autriche","AUT"
