tx_acc1	taux_acces	taille_equi	secteur_equi	tx_form	part_form	tx_courses	heurstag	h_stag	tx_tpf	TPF	tx_c5a	tx_c5b	tx_c5c	tx_c5d	tx_c5e	tx_c5f	tx_c5g	tx_c5h	tx_c5i	tx_c5autr	tx_c5j	tx_c5k	tx_c5l	tx_d3a	tx_d3b	tx_d3c	tx_d3d	tx_d3e	tx_d3f	tx_d3g	tx_d3h	tx_d3i	tx_d3autr	secteur	secteur_ensemble	Info_secteur	taille
12.1	0.121	1	27	12.2	0.122	12.2	15	0.15	1	0.01	0	0.7	0.8	21.3	0	0.4	0.6	0	49.2	9.8	1.8	0.4	9.8	6.4	26.4	24.2	8.4	11.7	1.4	20.9	52.1	86.9	22.4	Administration publique et santé	0	"Administration publique et défense ; sécurité sociale obligatoire. Activités pour la santé humaine. Hébergement médico-social et social. Action sociale sans hébergement"	1 à 3 salariés
24.5	0.245	2	0	35.9	0.359	32.1	45.7	0.457	2.2	0.022	6.9	6.4	8.8	6.9	8.6	1.4	12.8	2.3	57.9	22.3	1.1	0	22.8	32	37	18.8	12.6	28	13.4	17.8	35.7	45.6	6.8	Ensemble	1	Ensemble	4 à 9 salariés
0	0	2	1	0	0	0		0	0.6	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Industries extractives	0	Extraction de houille et de lignite. Extraction d'hydrocarbures. Extraction de minerais métalliques. Autres industries extractives. Services de soutien aux industries extractives	4 à 9 salariés
2.9	0.029	2	2	35.2	0.352	20.8	13.1	0.131	0.7	0.007	0	0	19	0	0	0	35.5	0	100	0	0	0	0	11.2	49.3	38.1	9.7	9.7	0	38.1	9.7	9.7	0	Industries alimentaire	0	Industries alimentaires. Fabrications de boissons. Fabrication de produits à base de tabac	4 à 9 salariés
0	0	2	3	0	0	0		0	0.5	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fabrication de textiles	0	Fabrication de textiles. Industrie de l'habillement. Industrie du cuir et de la chaussure	4 à 9 salariés
20	0.2	2	4	100	1	100	21	0.21	0.9	0.009	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Industrie du papier et du carton	0	Industrie du papier et du carton.  Imprimerie et reproduction d'enregistrements	4 à 9 salariés
7.4	0.074	2	5	31.3	0.313	22.6	16.5	0.165	0.9	0.009	0	0	0	0	0	0	0	0	0	66.7	0	0	66.7	24	0	24	52	0	0	52	52	76	52	Cockefaction et raffinage	0	Cockefaction et raffinage. Industrie chimique et pharmaceutique. Fabrication de produits en caoutchouc et en plastique. Fabrication d'autres produits minéraux non métalliques	4 à 9 salariés
16	0.16	2	6	35.7	0.357	35.7	51.6	0.516	1.5	0.015	7.7	17.2	0	8.3	15.3	0	15.3	0	42.7	33.1	0	0	33.1	59.2	42	24.9	17.2	33.8	17.2	0	59.2	42	7.7	Métallurgie	0	Métallurgie. Fabrication de produits métalliques. à l'exception des machines et des équipements	4 à 9 salariés
22.3	0.223	2	7	32.7	0.327	32.7	17.9	0.179	1.1	0.011	18.5	0	9.6	9.6	8.9	0	18.5	8.9	63	8.9	0	0	8.9	36.3	37	28.9	27.4	55.6	26.7	37	54.1	45.2	0	Fabrication de produits informatiques	0	Fabrication de produits informatiques. électroniques et optiques. d'équipements électriques.  machines et équipements n.c.a.. Réparation et installation de machines et d'équipements	4 à 9 salariés
0	0	2	8	0	0	0		0	1.5	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Industrie automobile	0	Industrie automobile. Fabrication d'autres matériels de transport	4 à 9 salariés
